16-20    7-17    1-31    5-10   22-26    5-19
21-37    9-17    9-26   13-17    7-10   33-38
24-35    1-33    3-24   14-24   27-36   13-19
13-28   13-37   35-37    0-37   31-33    3-35
14-35   25-29    0-39    5-16    5-25    3-37
14-37   10-15   10-24    2-20   16-19   11-32
23-24   14-30   19-20   13-16    2-13   19-29
10-26   33-37    1-32    3-23   23-35    8-13
17-25   11-18   11-27   10-37   11-36    6-15
 4- 6   24-39    5-13    4-15   10-12   10-21
 1-18   17-36   10-30   10-39   11-38    7-25
 4-17   22-34   10-14    1-11   17-29   28-38
 2-19    8-10   17-22   22-36   27-32   10-25
 0-24   30-37    8-37    1-34   26-33   18-38
 8-12    0- 8   11-17   15-17    1-27   15-26
 1-36   21-30   31-34   17-26    9-22   37-38
12-39    2-16   11-28    6- 7    7-15   33-34
 4- 7   26-37   18-33    5- 8    0- 3   17-19
22-33    0-12   17-28   19-25   28-37    1-22

First exception encountered afer 44 additions.
