16-20   15-39    3-13   14-22    2-11    5-28
 6-11   16-22   12-18   14-24    2- 4    1- 8
27-36   13-19   13-15    7-12   11-37   16-33
38-39   14-17   20-33    9-12   23-38    3-35
13-21   27-38    0-30    0-39   22-32    3-28
14-37    1-12   13-23    2-29    6-29   29-31
 4-11   21-27   12-24   22-25   21-36   10-17
 1-14    9-37    2-31    3- 5   12-17    6-31
 3-23    1- 7   27-35    0-27   32-34   13-39
14-16   14-25   12-37   17-18   27-28    0-11
 8-24    2-26    6-17    6-26   15-38   22-34
10-14    0-13   17-29    5-27   27-39    6-19
 7-18   12-14   26-31   21-26    0- 6   10-16
 2-21    5-38    2-30    6-12    6-21   35-36
13-36   16-32    8-12    9-11   19-21   10-18
 2-14   16-25    7-22   18-22   13-38   16-34
 4-14   21-30   20-34    8-14    3-36    0-19
28-35   16-18   33-34   18-33   22-33   11-12
14-29    0-21    3-38    4-37   11-30    1-22

First exception encountered afer 40 additions.
