26-30   25-32   18-26   20-29   22-26    8- 9
12-25   14-22    0-14   28-30    3-31   15-23
32-39    7-28    7-37   12-18    5-21   17-23
10-29    1-26    7-21   20-33   12-29   12-38
 9-21    3-35   19-34   10-31   16-17    2-27
12-13    3-19   31-35    4-18   21-34   10-15
 1-12    8-27   30-36   22-25    4-11   12-24
 3-21   14-30    4-38    8-20   10-17    7- 9
 6-22    3- 5   20-21   29-33    4-13   23-35
10-19   13-18   19-31    1-25   16-23    0-36
26-36   29-35   14-25    4-33   10-12    2- 8
 1-18   27-37    8-33   10-30   11-29    2-26
11-38   15-29    8-26   10-23    0-22   10-32
 2-28    7-27    5-20   22-36   10-16    5-29
19-28   10-25   17-31   11-24    8-37   11-33
26-33   21-28    1- 6   19-21    8-21    3-34
19-30   24-38   13-38   15-35    2- 7   12-39
14-36   17-35   26-28    6-25   25-30   25-39
18-33   12-32   11-12    5-35    7- 8    1-22

First exception encountered afer 39 additions.
