32-37   26-30   17-21   11-14    5-28    9-35
27-34    1-15    6-20    1-33   14-15   22-28
 0- 7   21-39   11-16    9-28   27-36   15-16
 8-32   10-29   24-28   18-21    0-37    2-34
16-33   38-39   12-20   21-32    4-25    0-30
 0-39   12-13   21-34    4-36    1-12   13-14
11-32    0-32   20-37   31-37   12-33   23-33
 1-14   17-32    0-25    2-22   16-21    0-34
 6-31   21-38   14-32    2- 6    1-16   28-34
30-31    0-27    0-36    2-33   25-35    3- 7
20-23    6-33   20-32   18-32   17-18   27-28
19-33   11-29    0-38    2-35    6-26    6-35
 7-34   21-33    0- 4    4-35   22-34   10-14
 5-27    2-19    5-36   10-32    0-31    2-28
 6-19   24-34   12-14    7-27   12-23    6-37
 4-28   34-38    1-13   11-15    2-21    6-30
 0- 8    8-21   11-17    3-34    0-26    0-35
 6-23    4- 5   26-35   10-11   28-35   22-24
 0- 3   12-32   14-29    2- 9   11-21    0-21

First exception encountered afer 45 additions.
