32-37    3-22   20-38    2-11   28-30   24-26
 6-20   30-39    1-33   25-34    2-32   29-34
17-23   11-16    5-30    6-13   25-27    7-21
 1-35   16-33   20-24    3-17   20-33   23-38
27-29    8-25   25-29   16-35   22-23   12-22
29-38    3-19    4-18   21-34    3-28    8-27
11-32    3-12   14-21   20-37   31-37    3-30
 2-13    0-25   33-37    2-31    3- 5   12-17
 3-23   21-38    8-13   36-38    1-16    0-18
10-28    6-24   26-36   31-32   23-28   23-37
 2- 8   27-37   37-39   10-30   10-39   15-20
 2-35   18-25   21-24   15-38   14-18   26-38
 7-34   18-34    1- 2    0- 4   27-30    5-27
10-23    9-25    1-20   27-39   13-25    2-37
12-23    0- 6    1-13    5-29   19-28    0-24
 8-37   11-33   15-24   24-36    7-29    7-38
 4-21   22-38   14-34   19-30   13-20   32-33
15-26   24-38    4-14    9-13   23-39   37-38
 2-16    6-25    3-29    0-21    3-38    6- 9

First exception encountered afer 42 additions.
