 7-17   26-30   15-39   22-26   21-37    9-17
11-14    6-11   15-23   32-39   15-32    2-32
23-36    4-32    1-17   10-38   11-37    3-17
20-33   22-30    9-21    5-32    4-34   10-22
 0-30   16-26   16-35   31-35   14-37    1- 3
16-28    1-14   17-32   24-25    2-22   19-38
10-35    1-32    9-37   30-38   14-23   14-32
 4-31    1- 7   17-25    8-22    1-25    0-27
32-34   26-27   21-22   15-36    5-13    7-32
18-32   23-28   12-37   23-37    2- 8    1-18
28-36    5-34    9-32   11-29    0-38   13-32
 7-25    4-35   27-30    2-10   17-29   19-26
 1-20   14-39    5-36   19-35   10-32    7-18
12-14   21-26    6-37    8-10    2-21    6-12
 7-20   35-36   18-20   21-28    9-11   17-24
22-38    5-31    9-29    0-26    6-14    4- 5
35-38   26-35    5-15   23-39    0-19   32-35
 1-29   26-28    7-24   16-36    7-33   18-33
 3-29    2- 9   14-29   28-37    5-35   13-15

First exception encountered afer 44 additions.
