32-37   10-34   26-30   16-29   12-25   22-35
 8-18    0-23    5-37   27-34    6-11   19-39
 7-19   29-34    9-10    5-21    4-23    9-19
11-16    3-33   20-33    5-14    9-12    0- 9
22-39    9-21    8-25    1-28   24-30    2-36
 6-36    3-37   14-37   19-27   30-36   25-31
 3-12    5- 9    6-38   20-37    3-30   10-26
 1-23   11-25    7- 9   24-25   30-38    9-37
20-21   20-30   22-27    7-39    8-13    2- 6
36-38   13-18   27-35   17-34    6-24   20-23
26-36   23-28    3-25   17-27    8-24   30-33
10-30    9-32   11-29    2-26   15-29    6-26
18-25   23-30    0- 4   17-29   10-23   27-39
 9-34    6-10   13-25    4-28    1- 4    5-20
17-22   10-16    3-32    9-27   11-24    6-30
 7-29   21-28    4-21   22-29    9-11    8-30
 9-29    7-22   16-34   18-31    0-10   17-35
 6-16    7-15   13-31   25-30   18-24   21-23
 3-20   14-20    9-15   11-12   12-32    0-21

First exception encountered afer 41 additions.
