26-30   16-29    7-26    7-35   12-25    8-18
 5-28    4-30   13-17    6-11    7-10   24-26
 8-39    2-32    0- 7   21-39   11-16    5-30
24-28   13-28   16-24   10-38    7-21   18-21
 2-34    7-30    6-34   12-29   23-38   30-34
25-29   31-35    3-28   14-28    4-27    4-36
13-14   28-39    1-30   11-32   16-28   20-37
21-36   19-20   13-16    2-13   24-25    6-22
12-26   23-26    1-16   17-34    8-31   25-26
10-37   32-34   20-23   24-39   14-16   21-31
23-37    1- 9   27-28    8-24   28-36    8-33
10-30    5-34    0-38   15-20   26-29   26-38
21-33   23-30    1-11    5-27    8-26   11-22
 9-34   13-34   26-31   29-30   19-37   30-37
 3- 4   33-39    1-34   16-32    7-38    4-21
 1- 6    8-21   19-30    0-26   16-25    4- 5
26-35    6-32    7-31    3-27   19-23   36-39
37-38    2-16    3-36   15-19    1-29    4- 7
15-37   18-33    5-17   17-28    6- 9    1-22

First exception encountered afer 46 additions.
