 6-18   33-36    1-31    7-26   22-26    0- 5
20-38   23-34    5-28    4-39   24-26   32-39
30-39   14-15   14-33   13-19   15-16   35-37
16-33   20-33    3-26   14-26   14-35   19-34
 0-30   25-29   16-26   18-23    0-39    3-19
 5-16   14-37    1- 3   13-23   17-39   16-19
 0-32   16-28    1-39    3-12    5- 9   29-31
 1- 5   13-16   17-32   10-26   11-25   12-26
31-39    7-39   36-38    2-15    7-11   25-26
16-23   26-27   24-39    3-16   20-32   23-28
 4-24    1- 9   17-27   10-21    1-18    0-20
 2-26   26-29    5- 6    7-25   21-24   26-38
18-34    4-26   17-20    8-26   17-38    6-28
 4-10   21-26   17-22    8-37    0-33   24-27
35-36   15-33   12-16    1-34    7-29    4-21
 1- 6   17-24   22-38   36-37    3-34   11-26
15-26    6-23    0- 1    8-14   17-26   19-23
37-38   14-36    5-33    2-16   30-32    1-29
 4- 7   26-37   29-39   20-36    3-29    6- 9

First exception encountered afer 47 additions.
