13-33    4- 9    8- 9    0- 5    5-19   34-37
14-31    5-37    6-11   15-23   32-39   16-22
10-36    5-12    9-10   17-23    4-32    5-39
10-20   19-32    8-32   25-27   24-37    0-37
35-37   16-33    1-35   14-17   22-30    9-21
 5-32    4-34    7-14   22-23    6-36   19-36
 2-29   29-31    3-21   14-21    9-16    8-20
13-16    2-13   11-25    2-22    1-32    2-31
 3-14   22-27   23-26   12-35   10-19   17-34
11-27   11-36    2-33   15-27   35-39   20-32
12-37   28-36   30-33    9-32    3- 9    6-26
 3-18   14-18    4-17   19-26    9-25   17-38
10-32   15-22   24-34    6-28    1- 4   17-22
34-38    9-18   11-15   17-31   19-28    9-27
 0-24    9-36    2-30    1-34    7-29    4-21
 9-11   17-24    9-20    0-17    2-14   11-26
15-26   24-38    7-31    4-14   22-31    9-13
17-26    2- 7   12-39    9-22    0-19   32-35
26-28   17-19   22-33   34-35    2- 9    2-18

First exception encountered afer 41 additions.
