32-37   13-33    7-35   20-29   20-38   23-34
 9-26   13-17    7-10   32-39   18-19   18-37
 3-15   14-15   22-37    4-23    1- 8    1-17
15-25    2-25   25-27   18-21   25-36   38-39
 3-26    5-23    4-34   27-29   25-29   16-26
 1-37    2-36    6-27    0- 2   14-37    3-37
13-23   10-33    2-29   12-15    6-29   20-37
 9-16   19-20    1-14   19-29   10-35    9-37
 2-31    4-13   18-39    8-13   10-19   25-26
 2-24    0-36   11-36   26-27    5-13   20-32
 3-25   17-18    8-15    1-18   37-39   28-36
 8-33   30-33    5-34   10-30    3- 9    6-26
 7-25   29-37   21-33    2-19   19-35    0-31
 2-28   32-38   13-34   12-14    7-36   20-39
 1-13   28-31   19-28    0-24   18-20   35-36
15-33   24-36    8-12   19-21   17-33   19-30
 9-29   11-35   18-22   21-30    8-14    8-23
11-19    5-33   11-28    6-16    7-15   15-37
 7-33   18-33    5- 8   31-36    6- 9    1-22

First exception encountered afer 43 additions.
