 6-18   10-34    7-17   24-33   16-29    3-13
20-29   21-37    0-14   11-14    2-11    9-26
 6-11   16-22   10-36   25-34    2-32   20-22
20-31   22-28   14-24   21-39   13-19   15-25
16-24   13-37   14-17   12-29    5-32   10-22
13-21    7-14   25-29   16-26    1-37   21-25
12-22    3-19   31-35   12-31    1- 3   10-24
13-23   11-32    2-38   12-15   29-31   20-28
22-25    6-38    9-16   17-32    1-23   30-38
16-21    0-34   25-33    3-23   12-35   17-25
11-18    7-11   25-26    6-24   13-39   24-39
29-35    7-32   14-25    4-24   23-37    8-24
27-37   11-38   15-29    4- 8   16-37   21-33
22-34   34-36   27-39    3-39    9-25   15-22
32-38   24-34    4-10   21-26    8-10   10-16
28-31   11-24    5-38    0-24    2-30   24-27
33-39   24-36   22-29   17-24   14-34   17-33
 1-27   16-25   24-38   22-31    3-27    5-24
19-23   16-27   18-24    5-17    8-16   11-30

First exception encountered afer 47 additions.
