 7-17   26-39   20-38   24-26    1-24    6-20
19-39   33-38   18-19   26-32    7-19   20-22
22-28    3-24   21-39   27-36   19-32   10-29
16-24   10-38   18-30   20-33    3-26   14-26
 5-23    9-21   10-22    1-28    7-23    5- 7
 6-36    3-28    1- 3    4-36   27-31   16-19
10-33   14-21   21-36   13-16   17-32    8-29
 0-34   25-33    6-22   20-21   26-34    6-31
12-26   23-26   12-35    4-31    1-16   28-34
10-28    1-25    9-39   26-27    4- 6   35-39
26-36   18-32   23-37   11-20   37-39   19-33
 2-17    2-26   25-28   11-38   24-32   12-21
22-34   28-29   11-22    0-22    0-31   26-31
21-26   21-35    8-10    1-13    8-28   19-37
33-39   16-32   22-29    2- 5    9-20    3-34
28-33   19-30    2-23   15-17   16-25    5-15
22-31   10-11   31-34   17-26   19-23   12-39
14-36   30-32   16-18    7-15   26-37   20-36
31-36   17-19    5-17   19-25    9-33   13-24

First exception encountered afer 44 additions.
