 7-17   24-33   26-30   25-32   29-32   20-29
 0- 5   34-37   21-37   17-30    0-23   10-27
33-38    3- 6   18-37    3-15    0- 7    5-21
 2- 4    9-19    0-16   10-20    1-17   13-19
 7-12   25-27    0-37   25-36   18-30    7-30
 3- 8   23-29    0-39    6-27    5-16    3-28
14-37   19-27   17-39   33-35   25-31    1-39
 8-20   34-39   27-33    0-25   19-38   16-21
 0-34   12-17   12-26   14-23   18-39    7-39
14-32    1- 7   11-36    6-15   20-23   15-36
 6-33   20-32   18-32   23-37   17-18    2- 8
19-24    0-20   28-36   19-33   37-39   25-28
 6- 8    4- 8   18-25    7-25   14-18    6-35
15-38   16-37   12-30    9-25   11-22   10-32
 6-10   15-22    4-28    8-10    2- 3   11-15
28-31    8-28   10-25    9-27    9-36   13-27
24-27    3- 4   15-33    9-11    0- 8   22-38
 9-38   15-35   16-34    9-13   17-26    9-22
 0-28   15-28   25-30   31-36   23-32    0-21

First exception encountered afer 45 additions.
