32-37   16-20    1-31   26-30   15-30    4- 9
26-39    3-13   12-25    0-14   11-14    7-10
 6-20   30-39   10-36   29-34   23-27    3-24
 9-10    4-23    2- 4    0-16    4-32    9-28
10-29    5-23   23-38   16-26    3-10   20-26
21-25   20-35   23-31   27-31   16-19   33-35
 2-29   23-24    4-29    1- 5   19-20    7- 9
 1-23   11-25    9-37   25-33   16-30   20-30
 3-23    8-22   36-38   13-18   17-34    8-31
 0-27   25-35    6-15   26-27   14-16    0-11
15-20    6-26    4-17   21-33   18-34    0- 4
17-20    4-35   17-29    2-10   19-35    0-31
 2-28   32-38   13-34   12-14   18-27   16-39
 4-28    1- 4    9-36    0-33   11-33   13-27
18-20   12-16    6-30    5-22   36-37    5-31
 0-35   13-29   16-25   24-38    0- 1   20-34
22-31    3-27    2- 7    8-23    3-36   17-35
37-38   16-27    5- 8   20-27   23-32    3-29
 2- 9   11-12   19-25    3-38   11-21    4-37

First exception encountered afer 35 additions.
