15-21   16-20   16-29    7-35   20-29    0- 5
34-37   22-35   23-34    3-31    0-14    4-39
13-26    6-20   18-28   20-22   18-37    8-11
 3-33   13-19   13-28   16-24    7-21   24-37
13-37    3-17   14-26   23-38   30-34    2-36
12-13    5- 7    0- 2    3-28    3-37   13-14
17-39   19-36   30-36   14-21   31-37    3-30
 1- 5    2-13    8-29   24-25   33-37    1-32
 6-22   12-26    8-13    1- 7   13-18    7-11
 9-30   26-27   20-32    7-32   17-18   10-12
10-21    9-23   28-36   11-29   20-25   12-21
29-37    6-35    4-17    0-13    1-20   11-22
 9-25    2-19    5-36    9-34    3-39   24-34
12-14    8-10   34-38    0-15    8-37    9-36
13-27    3- 4   33-39   13-36   22-29    8-12
 2- 5    8-21    9-20    3-34   17-33    9-38
24-29   16-25    7-22   24-38    1-36    6-32
31-34    5-15   14-27    3-36   32-35    7-15
18-33   20-36   17-28    9-24    0-21   11-21

First exception encountered afer 40 additions.
